code,category,subcategory,name,friends_price,marketplace_price,status,shipping,note,images
BK-53,Books,"Memoir, Politics & Place",A Promised Land — Barack Obama,0,5,available,yes,Volume one of Obama's presidential memoir.,https://covers.openlibrary.org/b/id/10449357-L.jpg
BK-54,Books,"Memoir, Politics & Place",Cool Gray City of Love — Gary Kamiya,0,5,available,yes,"49 essays on San Francisco, one per square mile of the city.",https://covers.openlibrary.org/b/id/8455473-L.jpg
BK-01,Books,Psychedelics & Drug Culture,How to Change Your Mind — Michael Pollan,0,5,sold,yes,Pollan's deep dive into the psychedelic renaissance and its science.,https://covers.openlibrary.org/b/id/8805168-L.jpg
BK-02,Books,Psychedelics & Drug Culture,PIHKAL: A Chemical Love Story — Ann & Alexander Shulgin,0,5,available,yes,The Shulgins' cult classic — memoir plus 179 phenethylamine syntheses.,https://covers.openlibrary.org/b/id/8068464-L.jpg
BK-03,Books,Psychedelics & Drug Culture,Food of the Gods — Terence McKenna,0,5,sold,yes,"McKenna's sweeping theory of plants, consciousness, and human history.",https://covers.openlibrary.org/b/id/12899833-L.jpg
BK-04,Books,Psychedelics & Drug Culture,The Witches' Ointment — Thomas Hatsis,0,5,available,yes,Scholarly history of psychoactive plant potions and early modern witchcraft.,
BK-05,Books,Psychedelics & Drug Culture,"The Psychedelic Reader — ed. Leary, Metzner & Weil",0,5,available,yes,"Anthology from the early-60s Psychedelic Review; Leary, Metzner, Weil.",https://covers.openlibrary.org/b/id/12912189-L.jpg
BK-06,Books,Psychedelics & Drug Culture,The Most Dangerous Man in America — Minutaglio & Davis,0,5,available,yes,"Timothy Leary's wild fugitive years, told like a thriller.",
BK-07,Books,Psychedelics & Drug Culture,Fear and Loathing in Las Vegas — Hunter S. Thompson,0,5,available,yes,The gonzo road-trip classic. Bat country.,https://covers.openlibrary.org/b/id/13396-L.jpg
BK-08,Books,"Food, Health & Herbalism",The Omnivore's Dilemma — Michael Pollan,0,5,available,yes,Following four meals from soil to plate; modern food-chain classic.,https://covers.openlibrary.org/b/id/8596706-L.jpg
BK-09,Books,"Food, Health & Herbalism",This Is Your Mind on Plants — Michael Pollan,0,5,available,yes,"Opium, caffeine, and mescaline — three plant drugs, three essays.",https://covers.openlibrary.org/b/id/10512625-L.jpg
BK-10,Books,"Food, Health & Herbalism",Earl Mindell's Herb Bible — Earl Mindell,0,5,available,yes,A-to-Z reference on herbs and their traditional uses.,https://covers.openlibrary.org/b/id/3965917-L.jpg
BK-11,Books,Opioid Crisis & Public Health,Dreamland — Sam Quinones,0,5,available,yes,The definitive narrative of how the opioid epidemic took hold.,https://covers.openlibrary.org/b/id/12189023-L.jpg
BK-12,Books,Opioid Crisis & Public Health,American Overdose — Chris McGreal,0,5,available,yes,Guardian reporter's account of the prescription-opioid disaster.,https://covers.openlibrary.org/b/id/14592990-L.jpg
BK-13,Books,Business & Investing,Zero to One — Peter Thiel,0,5,available,yes,Thiel's contrarian notes on startups and building the future.,https://covers.openlibrary.org/b/id/9002334-L.jpg
BK-14,Books,Business & Investing,Starting Something — Wayne McVicker,0,5,available,yes,Insider memoir of founding Neoforma during the dot-com boom.,https://covers.openlibrary.org/b/id/960717-L.jpg
BK-15,Books,Business & Investing,The Intelligent Investor — Benjamin Graham,0,5,available,yes,"Graham's value-investing bible, with Jason Zweig commentary.",https://covers.openlibrary.org/b/id/36434-L.jpg
BK-16,Books,Business & Investing,Scarcity — Mullainathan & Shafir,0,5,available,yes,How having too little — time or money — reshapes the mind.,https://covers.openlibrary.org/b/id/9896983-L.jpg
BK-17,Books,Business & Investing,David and Goliath — Malcolm Gladwell,0,5,available,yes,Gladwell on underdogs and the hidden upside of disadvantages.,https://covers.openlibrary.org/b/id/7276285-L.jpg
BK-18,Books,Business & Investing,What the Dog Saw — Malcolm Gladwell,0,5,available,yes,Collected New Yorker essays on curiosity and hidden patterns.,https://covers.openlibrary.org/b/id/8260666-L.jpg
BK-19,Books,Business & Investing,Blink — Malcolm Gladwell,0,5,available,yes,The science of snap judgments and thinking without thinking.,https://covers.openlibrary.org/b/id/14421850-L.jpg
